"評論者名稱","評論時間","評論星級","評論內容","評論圖片","評論者個人資料URL"
"皓爸","1 個月前","5","2026.04.13 造訪魯味為主，麵跟飲料次要.. ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn1OLPIQLVHg16gi2_CMA6OPZpEakP1xRd-XhxVd8BGhxUuto5Lg_9_SMBhcswsIHOFDzWx9YfFSZevQuzNEWn5XEGGTyMgLTcYaM089yeknH8jibO9QN8C_s11yEoAWjs1payxGFBjXvG-1=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3WbJ7Te9DEHBYT2WshyEVlXHcPDTyqBIN3f1z25d7ZKAv4r1GH79puTgd_3Z2vYlbubEjG_RdxDI_7q4LrfzZjy8z1hvJ6L6a9uBGlWvzt5eKc3u3ZBb_FM83Atzjk-bYXEmqileNrWOo=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3EUoheLXmRX4vHrPblJGn_qMShOCKYa-5OByL9OybN37ctQLep2XoYA_GSlpvw8zAzIS00mQrRCptN18vz4h6mipmsuqfv6SEIX7URrXnrCNpPMMu1-TEQKVSgjde80tW9kL6praJucSMf=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn25FEYc2JE98sBBar5zn3Zu3VGKMp660BqKC-zRC5icvo9FgsIIvzv1gZ4bIlZ4tmFkbJ_vZ5BBkgRK1E7e-SDqBzwbxjcd0xB3P4v8Dl-dD4xUKwGZttpIJ5OEgvbnx5EssgcJ2DHYh8T8=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3cN3ebjLrEB1VS83rcdVfGUfLk8YhLlMqmrHQLTKEANDMEPXwt7K0JrfylrFEQc6Ro4OIwZ6jYyGc7y_Pg6nNDGrz2JXsLLGD1z7KrecuoZYeFw3f4XMtECDlXjzhNtmcQXGho4yFVhaY=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0EIDD4surL9nyqgWA7cT_VXoSmRd1k2-M19bGTUnPbo8wJaMaLs8VngZOs8lLNUeVKleTtEH9UbbGnfmBmCtbvW2jJqAIbZcllATte9YzHjo0Bmzl8yM3gJO9oWzTO8-LJQqKztERv7WLK=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0I1gS-1PX-CbZ_i6KjXs0YFxu2qu4fzC7uzdmEkQBPnu48WHHzzqKLIlg84NYvP6lBDOgrrPfxYfLdJSmpFWjyZwnzPwGkP1XsouU55yBW99zFprKHinf753EX2mTPAk1T6BdcPfVA_RrN=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1IlVih1_GFG3HushNtsatAkXYIEfThKbbfvAnnABlFXd7WqA93mymHRnulxJcxc97pm2eC2Aa2RFCe3gWrYjPxo8vRTh4WaNf-JwvqF2-z3FAq57Q2kYIh__L9OpRJUpLERLm_Du61TaGK=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3lKamURz0ehvXxEjlQRKfS2atImzyr9Hs45gEvZCGr8z3NZaMRr-kup9WJ341lXRA9BPadvFPGrq8BY6tAWwNEKBLiJ2MMVWEFwD7Rpocf2cY0TGCyrBNPrFtROo8NyTRO8ELrPhssHv_q=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3PixrbrXgCzbxVv3H8Gb_w3htHCMErjch1DIpftZJki-oDTOxgWEgerC5Eq0iS8vLzbQxm8x4PV95-3XzV1IVGGf2PJDbnhMJCEufxjpvBtBhceDUkezE2NOug4Y8NZ-XNj590RLTBUhkw=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1-KxBpCwWw0zCuSLYXi2yxRZ2n9FgPPYDQIEiTgKW2g5ZxZ6qifL-46q3Yt7-5fq9nINlVqozSKPnfM-hLIV1mWDSF8lZfMUzq8CaNk-HzeoRV0QAYHerEi8_nkqNZE4Urptb47JsjarDb=s196-p-k-rw","https://www.google.com/maps/contrib/116801760776502797411/reviews?hl=zh-Hant-TW"
"Diuby","2 個月前","5","價格親民 好吃 炸物也很厲害 飲料也好喝訂單類型： ⋯⋯","","https://www.google.com/maps/contrib/111303528472199475926/reviews?hl=zh-Hant-TW"
"Yupz","2 個月前","1","說真的叫滷味 我真的不懂滷味在那裡...食材是有看到有滷啦 然後酸菜沒味道可是是食材都偏黑剛滷起來的油亮感都沒有 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn1YhBSf3Rsgh8xgvCVWgT8iWPNusWqQJpZ95jhiuiR2Co5HqUdT0BrN9vMctrWhF2H-9o6QhRITBHH1PJ5ioqITDKiLkD-IgI9xUWxcvMfY8HuxP7rKpJ_WqZBS8fGwFnuJKGpIb_u-LgQ=s196-p-k-rw","https://www.google.com/maps/contrib/114737859050472259087/reviews?hl=zh-Hant-TW"
"羅翊瑋","2 個月前","5","滷味還不錯但覺得飲料比較厲害珍珠奶茶真的推👍 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn1dy5C2qfMCiak4Y96zR3KT7ATeOKhQ1nUYIfkviMNO5dZAXxD5p_67jDk-jY9OcY9yeCRnVMMQMSb89spvOR0-xKvRv2N3Y3AfkRh-qt9tYfUcQbScorUUXktBdnr1nw3bMYSbCB-Fu8g=s196-p-k-rw","https://www.google.com/maps/contrib/117682137356955280850/reviews?hl=zh-Hant-TW"
"帶著夢想去旅行","2 個月前","4","口味不錯，食材吃起來乾淨清爽不會覺得油膩或者粉粉的，調味醬料味道也好。整體而言滷味的美味程度非常好，很喜歡。 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn2l6yHI-2iGXzky5gH6K-6Hnsq5tqnCTmgu6LpA6K85MQFDnvvj3FYfVztawVOM80DKZN8LHVFcqtnLAFTNRNJjNKc-9kR7WFNxoWepIbtANfAikL2gm8Wwc2nnYgZ73eDDtcap9l4N5Qg=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0mog45eLeNYxip4O1MmgbKhdNZKIvMHPsDVqFgeyjeO3PW5KAT_7vBCOa6D2B8tMRfKL165xAw8x2H0vAQhPp7YVfx9PLqw3C8b6B86QPxs4bFg53m3pyAyYDS_KLv4D1aOjotjpSLI8c=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0GMKiylYGelppCyi0eExm1hp3H58JMbFmDsgZQaOcvUfIvLNQ3SPKPzyI37Jckf2D-LTPV6vwEUp3Wjj1okTJo2TfmnQd6kIG3LFoG4jHt9xM93hgqdWWNpNRPnqntPpujMtLomH_TX6kY=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1F6w-dv2Gle6CXVIswavMLE8Ggva2Ivt4JI_9D6jAaEKIyLVxOnjjQ_Z-3TKP1u2AHeH9VtYVoTc4zJxanNoP7kkxhZvqgHSe9-f6LkhJWeXJ7PlWeYozlE0zdLFCV4chZzuns9gUTczA=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0jqK9Xh5tyy-GGTdAyg1LxrvcCFAr0nwFxFa4IBmHzSm93O3Vdknb2MAEe-w4FjpsZicVjiB06NRHC_i2DE1R01mwZVvN-6oJT4aCSP6Hkq-PitxSP83gIFZUF0PP7GRRUlfaz5cGKavAD=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3Uat4-ABI29-Qshbrgk4muo1vM0dGLNPgpJouejHB_VHfc4fQj-9jj9Tmo0QwVuHf3DqmoWkHRsjv_hCLTqh15GSS1xMAFuWgw3TiyjAzBmdqNxQ-lQ7tha_ZGc4s6uVheo_xQAP3ySeZG=s196-p-k-rw","https://www.google.com/maps/contrib/101571078952378344640/reviews?hl=zh-Hant-TW"
"Liang Yves","2 個月前","5","有點小貴 但飲料很好喝訂單類型： ⋯⋯","","https://www.google.com/maps/contrib/115456547768570863594/reviews?hl=zh-Hant-TW"
"Alice huang","2 個月前","2","亂出餐根本沒有點花椰菜 滷蛋 百頁豆腐我的鳥蛋 大小豆乾 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn0Yf5k8N6lFokBAAj2tItkqnpc-BNELk_8Ir47u_NQriLx-OGAiMb7rcZJqalgFZdrpoHaYhN_j2OmqOYFGWuLIlV2hVJ2OWsGVY4FjUwkhpJ12nkLPEfVQEuKsHZ-rY8_yDwmVZNy5EzSr=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn13xSc0bDPsim-dDqKp-sejXowS2g6PHc_8Zh8B0MT51GofQnAaB9KvoK4Ov3vE66y-s4_m67MmOhaLJfWkKXx-bze6WlPPG-z__HJlSNZ7btrti3YPhtNZqGnlpeVte77l-6U60IFX14sW=s196-p-k-rw","https://www.google.com/maps/contrib/110427097142358851035/reviews?hl=zh-Hant-TW"
"李孟軒","2 個月前","5","訂單類型：餐點類型： ⋯⋯","","https://www.google.com/maps/contrib/109630078477262787315/reviews?hl=zh-Hant-TW"
"yw tsai","2 個月前","5","乾麵好吃，滷味的蒜味醬也很特別，飲料的粉粿也很讚😍餐點： ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn1JIsEN3UhYJooAA-VbtkF1KAvylFnEpXpuumR1V1egvX50PTOKYKelWRfWWCgBNMY12gkZ-4GzG_gTNiTrnPIngWVGE7V432_UQzE4x-LiQ_Kc7DT1KTAX5gvsLM3sDQKglI0CPQC0bCb9=s196-p-k-rw","https://www.google.com/maps/contrib/114820273656518675819/reviews?hl=zh-Hant-TW"
"ㄖㄨㄥˊ In","2 個月前","5","訂單類型：","https://lh3.googleusercontent.com/grass-cs/ANxoTn3xP2zihCU_HaY3D4SvfoJnqk3MFj05u3vuCGT66zOd-BJRl5udO3Tu-Jg-esAxPrvCFsfYqPC66NFtF3-UgqqMP6ggufrbw-UG02xKiN7LXhC8SqlDEV9TU73lq2YPFri9hKsxMKQrtK4=s196-p-k-rw","https://www.google.com/maps/contrib/113612437981127164941/reviews?hl=zh-Hant-TW"
"Wang","2 個月前","3","餐點普通等待時間偏久態度不太友善 ⋯⋯","","https://www.google.com/maps/contrib/111279494595526526361/reviews?hl=zh-Hant-TW"
"Amber","2 個月前","5","平價好吃又美味😋蔬菜點一大堆才不到200位子比較少 要抽號碼牌但蠻推薦的","","https://www.google.com/maps/contrib/111761891786578756105/reviews?hl=zh-Hant-TW"
"莊東倫","2 個月前","5","訂單類型：餐點類型： ⋯⋯","","https://www.google.com/maps/contrib/117824323142976411083/reviews?hl=zh-Hant-TW"
"JeiKy Kim","2 個月前","5","東西不錯吃，飲料很大杯，真的很飽訂單類型： ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn1dw1OZeHRgo7CF3QoBrx_5wa-0iUiqSC5Pa7V0ghSASgeU_MzoSlGtIV82FVnve5V-XhwD3dElviB8r883cLLumOXRyye5TZIgFyXyZ-diuLkjtQMAF4l_40Q1jEZRr7m8QVyqyR3Y6gT6=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn26RrseZo88Fm2Y3bSMlTmcIuLZpGZp7Zu0kjWoHYZ-yvIQkKfG9jlG5QXej7GeRGNShcb_7nRwCZTlisuWGsYQTSsG5VNN7nV0lRZyuBNwyee8tZqxMipi0Zi75He67pa1fFe6YKMgiXd2=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1oeCxsDZL8_Lvicrx73deAnu9-8ACdn2nVGUYIiRH13e1TVKYgX6hNLYdS6Bhkbx1qijzI7WH3Jt-uuVnLRn3Gp7VM92GyfdVZRVrpT4KD5JkAC254nkQdmVv5kBuEA8sMX1zQjls0jrsR=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn01qxguc4eRxnd4vomyrGln7y1Ubn7zltOR-ZaldQJylgXSNDfCW-JSujF0-TVWM9QfBFnQztehPIywPsyMh0y_4oOfB_SqPxgnCE0v6NVZkNH3w5k049ftZb7HGSwxuaJ6wlZhH8M_uEan=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn396St-rwpeYYXChR475NNCRfCde9uDx3g5pTbIp6xArh3Oz0kGWnoOA8eg2IzDRhW4psrCQSvWGa5xJcXWzxVwFdTNltXNJCsCv3-xozQkP2JOdzBgatbuREHV9lHWYfzDau0XPQJIdxqg=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1HJ48p94hXe7_mEV_yPvMb6sF5HYtxJwXCPO4X1tqzak7T0SBQXDeQ11wDJZbBjPmoKzGnWIA7UA78h72oRiFl8hn1iCXfj9JiMxd1cf1YdfdGoup6IuXQeRl9_X2r7GhlujzKqlWINHbg=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0ia286WdAkGp_M53f6d5anCphyrVLzRHwEyTtHC20uopjR4hnzxvvLxhnt2Pl1zpn379hkRn1Ry-BbDMeOzI90jT7vyWTTq9_lHeR53zIZnsaCcKr2Hl210hPIiOYO1OzBvFy8MCeiDc4=s196-p-k-rw","https://www.google.com/maps/contrib/114985595208129889872/reviews?hl=zh-Hant-TW"
"李寶敏","2 個月前","5","好吃、好吃、真好吃訂單類型： ⋯⋯","","https://www.google.com/maps/contrib/114714846566215206354/reviews?hl=zh-Hant-TW"
"Tai-Ying Lin","2 個月前","4","看到很多人排隊+google評論而來。週六的晚上候位的人真的很多！我們真的等了好～～～久！吃個滷味點8百多我有嚇到；但吃完真的很飽就是！推麻醬麵，如果喜歡吃辣的，再另外加他們的自製辣椒就很讚😎滷味我覺得都還好，可能我吃比較重口味、所以我都會再沾醬料吃；飲料如前面的各個評論所推-非常大杯！大珍珠和粉粿也真的都很好吃😋炸物的「炸翅刀」份量較炸脆肉多吃起來很過癮！炸物沾梅醬也很適合，甜甜的很讚 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn1a-JbPGIV0i-RBU0VDOQR1ZOrtivQb23m6sVucJq1ZwvSvFDjoU5JdollOn3xoZW3JjJ4eJ50DTYsJFtsZrCiOKdkXRpzED33-1_BCMksmyCuNuzeL3Quu2QjXZTnr8z8zqWG2rY6-o2U1=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1fexgbSKmLHTkA3lxclvXF6RJfzYCVw7sLWdgcUOR5gAqgy-2izwlcdVNyCj7MdFKa5MltI9Pu3q_5ZU-5k2l3bjzdWqyQZFVXG2Xz24YRqWbMXpIg42v8bxPvmzrg_i-VO8NVv-tkjxdi=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3oppj5GExKDsM0dw7dGzsYBGUVqamkIEnaQB3wP8Gp5IyeB2gMmK72tmd8oDUYChD5pgxMfk0M4-Grb9vjB2c9V6iyIUV3QLtIe10igG4fBVfHiE-bEX6X5CHflzGgRyh3PQu-FJe4L4Q=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0TtGCqFx8GcF8INQ09m_o0T5IpkslN0InYI8yeSXdhwHe2wuuYuyh9YAez3NNZQNFO4Qg9ui8d2K2ByPPi_qm3Uza8ZQIKTjfD6p8sP1CPgj8wKmvIgETbQbV22-1ULZyYhUrTWvB7I8E=s196-p-k-rw","https://www.google.com/maps/contrib/108981550621502808135/reviews?hl=zh-Hant-TW"
"wang cielo","2 個月前","5","","","https://www.google.com/maps/contrib/114785814681683077409/reviews?hl=zh-Hant-TW"
"Jia","2 個月前","4","波霸奶茶很好喝，珍珠很ㄉㄨㄞ😙都很好吃 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn3YUKjv3TBkFtjQ4kyJeDG-Ea4k3NaEnwkgSsTEjoDk5_C_oY2UyDb6LhzGqb3znRo3EGLGp1Dh37jxE15dL3Cm-_q21RuzjE7ovqCsqJqtQTOio-FVK_vQ9TF1H_EgHEjZQmHZFT3-iUfV=s196-p-k-rw","https://www.google.com/maps/contrib/104042001128714187209/reviews?hl=zh-Hant-TW"
"11 Ü","2 個月前","1","等待時間太久了 等了一個半小時 等晚餐變成在等宵夜然後上樓後發現一堆空桌再來是標價不清 菜每克多少沒說結帳才知道 有些滷味是標價也不見了 ⋯⋯","","https://www.google.com/maps/contrib/106175894565872067377/reviews?hl=zh-Hant-TW"
"Star Chou","2 個月前","5","炸雞梅醬好吃 滷味清爽","","https://www.google.com/maps/contrib/111462421806863346581/reviews?hl=zh-Hant-TW"
"雷磁頭殼","2 個月前","4","所有品項的價格都比大部分滷味店貴5-10元，吃起來花費會非常可觀。#波霸奶茶 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn37sXkmHvQnKAv95aZV5A6eyYCsYlUu6gqZT9Ib4fZK_tEJGtCsHAPRRv57CMie6KrK958OS5eCDLlAAwVK55GtYtLYSOeAEr0WYvwJiH4oclBJZAMdDpx1RbASW7t5ZKFkamaUPrW2sGsY=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3dp1LYmFrVr4GozkM51_nnILVShkfxniDTF0QQxOov-hP3JdsJgTvD7A6h481VOc9zM1aKUhZqPGKJUjjReIaxWHVylwIlzEi_0aMDdZ4O0iCep9AqPPXp14xYwMF-qx_TfUmHQxsaFXaD=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1swL9p_M6cXHtpGCHBzwhPowjbwvMVsAAZloVXMBX9k-omqslDAEMEinZr05hvabAJQfpOGWglPZ-IXvg_GoVyYlO4nqEqZ29LmNzroYbjMnJOwtGlqu0PZaEV-xF7PtK3BFhsjyVF5CKD=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn04kl4xF9ZY-_fWbhxaslcKQXCjzLUM1yoJzj6pmUTJwOfwxxD9HbedMv2qZ0mb3GHdWJ40tiUeroQbiAM7GHQQFsue487hkg73rBr_o3R8Y60Kkj6_Ppira9BDAKMpa0SLK05pOyYeXLVn=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0MRIpiWC5VHDQZjyaw8mJI6m5w-11c7obbpwpHkTdegioLdmmweiNRQrQgfc1IjNP0z7naOtx0pZhcIYcZnSTwux2bPqGWPzmR2VWhMDSWnG4YFkP5SzS09R7QRXDW_gDVXPyHFxOo-0Xl=s196-p-k-rw","https://www.google.com/maps/contrib/102788214883240812648/reviews?hl=zh-Hant-TW"
"芷 芸","3 個月前","5","丹瓦樓的滷味真的很棒👅💕它的醬汁有一種蠻特別的味道！！我跟我朋友都很喜歡哈哈哈 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn0jPVaKDskI15xGnDfk1gsmHHrwsQlAowzKD2vuWlW3q0CR8qh714yN_UCB84j6QZJ_hofgyIS0DNVk6Vhwh-NwHgLLDH1Ya2aL1aKjqFK9eVmy5hF3XKdyS86eYDOKP-7IzUMVmAh7Xz77=s196-p-k-rw","https://www.google.com/maps/contrib/108563886415961099540/reviews?hl=zh-Hant-TW"
"陳沱 X 不只旅行","3 個月前","5","有滷味版本的春水堂無誤！個人比較喜歡飲料跟單點的炸物其次是滷味，油蔥香伴麵的話我覺得還好 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn1dKY2z5SYsZvUIX2QlSBcL_T_GAvA-HvSdZWyQqifDbfCI18Wkgcz8mnF5RiTIDGIM-IkTqQ3bZVMz3OjudP3C1Yw2v4FPFehcu-Bb-T6dctacg0g_ByRbzmhzVcnZbd-Ji7GspcoypiGS=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1nJzG7jiQyXUrOC3fbGILCKd0rrpPbsvVo32t0LMLxbH4d6hG_SKuOuqpHwa1V9Swu0jtyMU63FkdhRo6zqfjH3am53dn_BQIqrFhY93OvuBtOaE8SInZuYlCuw8le6qflVurPygJcgadE=s196-p-k-rw","https://www.google.com/maps/contrib/111200176178228303850/reviews?hl=zh-Hant-TW"
"Sofia Lee","3 個月前","3","飲料好喝，滷味品項滿多選擇的訂單類型： ⋯⋯","","https://www.google.com/maps/contrib/103660922990684247851/reviews?hl=zh-Hant-TW"
"黃健德","3 個月前","5","酸菜比以前好吃，不會像之前的像在吃甜菜。搭配滷味，酸香酸香的！！讚！！ ⋯⋯","","https://www.google.com/maps/contrib/115278125375974105204/reviews?hl=zh-Hant-TW"
"蔡毓恩","3 個月前","1","剛剛看評論發現也有人說過了 音樂真的不行==救命無骨雞腿 味道不行 口感也沒有特別好炸翅刀蠻好吃 但感覺裡面沒有熟（是淺粉色）","","https://www.google.com/maps/contrib/107087865740755623631/reviews?hl=zh-Hant-TW"
"na an","3 個月前","4","大學生必來的夜宵滷味店！以海安路的行情，這裡滷味價位算很ok ，尤其是飲料很大一杯，平均40~60扣扣而已，滷味份量也很多、尤其王子麵必點！不用沾醬就很好吃；但店內人潮熱絡、想吃的饕客得提前現場抽號碼牌，目前無訂位服務喔！ ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn1dt_bgDtWEzP1aWMZFSZdfg1yclKSh-vaSSPjCaERFHxdV9EtR-odRXtjyNs3_Z0QXRmmsZ1ZhT-9IO7oljUKK4qxRyCK1Iy2lWMUo7p0P0UcMVx6vu2txYOujQ4CoIdLX1cDgCIrlsp8C=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3d0rZQ7piF5J-tmt4lNrfwq1YI26JLnE8oZtHFV17l9v8E2YCxHdV0_XnTKU1xkESzA58LdnwHqTDhRNDe2GJl9tbzNe-1QqpvWDsYI9pJBCRABR-nXJTtxQopB82RknJY34XvDN8BHzsx=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2UtYZe8jyWPPh9h-yZcpEpbIlkmggUyq0VRb9CujOEf_JsCA5FzHUfqNAQlOkU50XRBXW1Pt4ut58O4uGnlgG57EC8SapfABiXRQmvscTOs9VXp024mkiwby__msBGmHpoFEl_xkWPR4o=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0SNpiTIc92vuMQbm-DTYscbbttVxAolHLwSKiaIMEDXTvu5WQWL_LdpBrMLl9UX3OFuqoMp0JAYJ9fOhMqkzhO9gNzDi5cN76bc2O7Ys0qH7Da6GBjrSWNJN2EuKB4-fgV9LZ9vz7vh47G=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn31v99820Ft1teeRGyQkwWqjGQWZNhvGaHt5lx_kKDFHWxY80qlqRC-aW-2tSjMTem00hFsolJRxhoHKOXXbsv-TrK0eCGdK3y6vIGPdDgFQ5d87M17ojfOzkM-kgehbYEXZgnoSTZlGfB6=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn15gYEBQpLaR11msVERjqlKe0WTToxSLRf7qdZ4TVoUFIJsYmM3Cj7sjfPpWlFCZ35ZzkWCTJxOoLkPBefDMhBwOK1rsMquC2CckgI8j5yrpVP8KBBIVl0YLwEM0JaTca7_YYXkmkw-UmVP=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn04sbVmKWtA9k1eVHdPrkJgmyNKR9jCfaVwnyFW3h-nxlsJEBJgVrv0ecaqVfRwF62NmfjnOAHhk5OpNDm7OzaLpVIzq0k2eBAY5UcN-ihhQLZxYNOofCyW_kCLvD18VNkPbsQ1CGovPgk=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0ZJm20sKPnJzw-kYW9ISlKRvlQygHj9Zmj43oTCH3D6jSfGFfp6JcqFCH2rabQ8pruDhnnk691NT1ft1meWjSua732J8Trq7_A1nMQ8fZaZwSMup3muPf-NaR1dsVcZJ36aZfT1F1TT0WL=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1qDzFDe7YW4ws1SgdbpFTO9j__5SIKtG1vUXySPF9klVFd6S8PhPX7l2z-d5s_mpdyvBSZVmOyLiITowD7soYT1vbIE3A08HedBZQUu5PP3GnozjpbvYu88fUopjsndfdehBWrQTLdx1z-=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3xFr63gTxL71yw-1kUi9xvY0juGA6HI56qDA1cIJC2AruCZ7WPi7MPwO8IHM4Ka0CGUVcKycyJlptfX8zTbaI9VYOySDDDpn-0OXPKLhY9uIfze3BTLwOXfJ6etd-nK-MR-_b2-1vjUok=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2Cp8RLNsYqbCVcDWNBayxKYqifprNTM2wlI9O9L7KRMGt9gcxqp6IbijY0W6g-v2rNdorzz-y7f2dz77VVUhcW_NSwtXm1XGSpODHDeczsMbp7TolBk7H4kFmVj4xpU5rRYwTlDp831Mwt=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2mLr1gqZXfHDJD8Ozg-O-jPyiU6w7OYmzLn6nQzC3sHxE6zueRDjHtrJwB90mpS5MpVAKS2lpfFZZ1LxqG8XN_qjYotha3e_FunvFXI6QdMVSqEGc2gPMzU3rqwty8foTFvrj7JkKe7-rp=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3hmly28GunoLSk10B8QYnQbYrEk6veKtdUwa1zWkvLMplYaKX_4PrqpcgWMniB088zwCJ0b0TAd2NjUv6INo5at9nYvP7YwKeYd1Q57L-ykEaqpVpvgw9RrTEBDwxH_XgvnW_jR7fE8Whz=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0ubg-mngVBoqpjJ4kuj8kG7wZ7beteUfw6qUORJmHC2lELCOnLr1mvEUkfF01j6Pvjv5rYbjspYam-E3IEv_dHgw4ZwG1IZIVPcvWQ8gbef6MQyqRP1Bro2ENXtMPFzbH8tR-dd8dTe8I=s196-p-k-rw","https://www.google.com/maps/contrib/102367304254644746281/reviews?hl=zh-Hant-TW"
"謝佩瑾","3 個月前","2","之前經過一直被店給吸引，想說改天來吃看看，今天去吃了等了1個小時，因為店內四人座位少到有點誇張，對朋友或家庭來用餐的人真的很不友善，座位規劃感覺需要再改善，不然一開始就是要登記2人、2人座位就好...四人座位真的等到天荒地老，餐點也還好（個人覺得） ⋯⋯","","https://www.google.com/maps/contrib/111294367512041710220/reviews?hl=zh-Hant-TW"
"沈沈家勝","3 個月前","1","對於家庭4人以上超級不友善，1-3人跳10幾組，4人以上完全不動，詢問服務人員表示要有緊鄰的兩桌空位才會叫號，等到都飽了！服務： ⋯⋯","","https://www.google.com/maps/contrib/118394142517229817202/reviews?hl=zh-Hant-TW"
